570.000,571.990,17'17'26'' 2017-08-04
570.000,1196.708,17'17'49'' 2017-08-04
570.000,1099.906,17'40'28'' 2017-08-04
570.000,571.984,17'40'35'' 2017-08-04
570.000,1196.826,17'41'20'' 2017-08-04
570.000,1196.826,17'56'03'' 2017-08-04
570.000,1139.796,17'56'15'' 2017-08-04
570.000,571.988,17'56'22'' 2017-08-04
570.000,571.990,17'56'29'' 2017-08-04
570.000,571.982,17'56'36'' 2017-08-04
570.000,571.990,17'56'43'' 2017-08-04
570.000,571.990,18'01'23'' 2017-08-04
570.000,1367.708,18'01'54'' 2017-08-04
570.000,570.632,18'01'58'' 2017-08-04
570.000,572.014,18'02'02'' 2017-08-04
570.000,572.014,18'10'35'' 2017-08-04
570.000,1253.710,18'11'03'' 2017-08-04
570.000,1253.710,18'17'00'' 2017-08-04
570.000,1139.862,18'17'23'' 2017-08-04
570.000,571.506,18'17'27'' 2017-08-04
570.000,571.800,18'17'30'' 2017-08-04
570.000,572.136,18'17'33'' 2017-08-04
570.000,1310.782,18'19'00'' 2017-08-04
570.000,571.924,18'19'04'' 2017-08-04
570.000,571.982,18'19'07'' 2017-08-04
570.000,571.988,18'19'11'' 2017-08-04
570.000,571.988,18'23'47'' 2017-08-04
570.000,1310.762,18'23'58'' 2017-08-04
570.000,572.014,18'24'02'' 2017-08-04
570.000,571.970,18'24'05'' 2017-08-04
570.000,571.970,18'49'03'' 2017-08-04
570.000,1253.888,18'49'25'' 2017-08-04
570.000,572.316,18'49'28'' 2017-08-04
570.000,571.718,18'49'32'' 2017-08-04
570.000,1099.978,17'47'41'' 2017-08-05
570.000,571.986,17'47'47'' 2017-08-05
570.000,571.986,17'50'18'' 2017-08-05
570.000,1196.724,18'04'06'' 2017-08-05
570.000,572.006,18'04'13'' 2017-08-05
570.000,571.970,18'04'20'' 2017-08-05
570.000,571.972,18'04'27'' 2017-08-05
570.000,571.982,18'04'33'' 2017-08-05
570.000,571.972,18'04'40'' 2017-08-05
