其他类异常,17'48'56'' 2017-07-17~17'49'15'' 2017-07-17,00D-00'00'19'',17'49'15'' 2017-07-17
其他类异常,17'49'20'' 2017-07-17~17'50'18'' 2017-07-17,00D-00'00'58'',17'50'18'' 2017-07-17
其他类异常,09'39'07'' 2017-07-18~09'55'56'' 2017-07-18,00D-00'16'49'',09'55'56'' 2017-07-18
其他类异常,10'07'30'' 2017-07-18~10'12'35'' 2017-07-18,00D-00'05'05'',10'12'35'' 2017-07-18
其他类异常,10'12'58'' 2017-07-18~10'14'32'' 2017-07-18,00D-00'01'34'',10'14'32'' 2017-07-18
其他类异常,10'15'12'' 2017-07-18~10'16'37'' 2017-07-18,00D-00'01'25'',10'16'37'' 2017-07-18
其他类异常,10'16'55'' 2017-07-18~10'18'37'' 2017-07-18,00D-00'01'42'',10'18'37'' 2017-07-18
其他类异常,10'19'03'' 2017-07-18~10'21'55'' 2017-07-18,00D-00'02'52'',10'21'55'' 2017-07-18
其他类异常,10'22'37'' 2017-07-18~10'23'46'' 2017-07-18,00D-00'01'09'',10'23'46'' 2017-07-18
其他类异常,10'24'20'' 2017-07-18~10'31'51'' 2017-07-18,00D-00'07'31'',10'31'51'' 2017-07-18
其他类异常,10'32'27'' 2017-07-18~10'45'00'' 2017-07-18,00D-00'12'33'',10'45'00'' 2017-07-18
其他类异常,10'45'20'' 2017-07-18~10'46'17'' 2017-07-18,00D-00'00'57'',10'46'17'' 2017-07-18
其他类异常,10'46'46'' 2017-07-18~13'49'33'' 2017-07-18,00D-03'02'47'',13'49'33'' 2017-07-18
其他类异常,13'50'08'' 2017-07-18~14'32'25'' 2017-07-18,00D-00'42'17'',14'32'25'' 2017-07-18
其他类异常,14'33'00'' 2017-07-18~14'33'38'' 2017-07-18,00D-00'00'38'',14'33'38'' 2017-07-18
其他类异常,14'34'09'' 2017-07-18~14'35'47'' 2017-07-18,00D-00'01'38'',14'35'47'' 2017-07-18
其他类异常,14'36'47'' 2017-07-18~14'41'45'' 2017-07-18,00D-00'04'58'',14'41'45'' 2017-07-18
其他类异常,14'42'21'' 2017-07-18~14'43'54'' 2017-07-18,00D-00'01'33'',14'43'54'' 2017-07-18
其他类异常,14'44'53'' 2017-07-18~14'52'32'' 2017-07-18,00D-00'07'39'',14'52'32'' 2017-07-18
其他类异常,14'52'59'' 2017-07-18~14'54'33'' 2017-07-18,00D-00'01'34'',14'54'33'' 2017-07-18
其他类异常,14'56'44'' 2017-07-18~15'10'56'' 2017-07-18,00D-00'14'12'',15'10'56'' 2017-07-18
其他类异常,15'11'11'' 2017-07-18~15'19'18'' 2017-07-18,00D-00'08'07'',15'19'18'' 2017-07-18
其他类异常,15'19'57'' 2017-07-18~15'20'19'' 2017-07-18,00D-00'00'22'',15'20'19'' 2017-07-18
